# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
5.831e-05 0 0 0 0 0 0
6.664e-05 -1.18365e-60 -2.98555e-73 0 0 0 0
7.497e-05 -2.19462e-59 2.06269e-72 0 0 0 0
8.33e-05 -2.13821e-58 6.79266e-71 0 0 0 0
9.163e-05 -1.45593e-57 5.88806e-70 0 0 0 0
9.996e-05 -7.77655e-57 3.23392e-69 0 0 0 0
0.00010829 -3.46828e-56 1.32458e-68 0 0 0 0
0.00011662 -1.34283e-55 4.44024e-68 0 0 0 0
0.00012495 -4.63418e-55 1.27297e-67 0 0 0 0
0.00013328 -1.45285e-54 3.23553e-67 0 0 0 0
0.00014161 -4.19713e-54 7.40025e-67 0 0 0 0
0.00014994 -1.12967e-53 1.52511e-66 0 0 0 0
0.00015827 -2.85769e-53 2.83202e-66 0 0 0 0
0.0001666 -6.84254e-53 4.54504e-66 0 0 0 0
0.00017493 -1.55986e-52 5.49752e-66 0 0 0 0
0.00018326 -3.40196e-52 1.48027e-66 -1.67876e-118 2.814e-123 0 0
0.00019159 -7.12733e-52 -1.90644e-65 -7.72166e-117 7.70823e-122 0 0
0.00019992 -1.43944e-51 -8.40815e-65 -1.81221e-115 7.6925e-121 0 0
0.00020825 -2.81084e-51 -2.55628e-64 -2.89224e-114 -1.22768e-120 1.68185e-130 1.55596e-133
0.00021658 -5.32082e-51 -6.60201e-64 -3.52984e-113 -1.44809e-118 8.728e-129 5.79944e-132
0.00022491 -9.78601e-51 -1.54486e-63 -3.51257e-112 -2.42524e-117 2.30578e-127 1.01086e-130
0.00023324 -1.75218e-50 -3.36026e-63 -2.9676e-111 -2.6577e-116 4.13322e-126 1.02266e-129
0.00024157 -3.05951e-50 -6.89864e-63 -2.18861e-110 -2.27133e-115 5.65377e-125 5.06349e-129
0.0002499 -5.21792e-50 -1.34685e-62 -1.43784e-109 -1.62239e-114 6.29297e-124 -2.40679e-128
0.00025823 -8.70375e-50 -2.51317e-62 -8.54518e-109 -1.00599e-113 5.93521e-123 -8.2766e-127
0.00026656 -1.42169e-49 -4.50484e-62 -4.64997e-108 -5.54838e-113 4.87736e-122 -1.0611e-125
0.00027489 -2.27647e-49 -7.7871e-62 -2.33949e-107 -2.76902e-112 3.56395e-121 -9.83412e-125
0.00028322 -3.57676e-49 -1.30158e-61 -1.09699e-106 -1.2666e-111 2.35176e-120 -7.47149e-124
